timestamp,dest,src,rssi
"07/03/2024,15:08:13.865046",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-59
"07/03/2024,15:08:13.954635",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-60
"07/03/2024,15:08:14.009710",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-59
"07/03/2024,15:08:14.270668",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-59
"07/03/2024,15:08:14.348882",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-60
"07/03/2024,15:08:14.644558",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-57
"07/03/2024,15:08:15.212289",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-59
"07/03/2024,15:08:15.458915",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-59
"07/03/2024,15:08:15.532443",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-59
"07/03/2024,15:08:15.638858",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:08:15.771988",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-59
"07/03/2024,15:08:15.915276",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:08:16.003626",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-57
"07/03/2024,15:08:16.132972",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-59
"07/03/2024,15:08:16.153846",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-60
"07/03/2024,15:08:16.203571",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:08:16.276716",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:08:16.354829",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:08:16.463493",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:08:16.581740",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-57
"07/03/2024,15:08:16.891362",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:08:16.953154",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-60
"07/03/2024,15:08:17.122520",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-57
"07/03/2024,15:08:17.521988",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:08:17.774869",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:08:17.830241",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-59
"07/03/2024,15:08:17.976276",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-62
"07/03/2024,15:08:18.231377",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-63
"07/03/2024,15:08:18.460124",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-60
"07/03/2024,15:08:18.531850",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-62
"07/03/2024,15:08:18.655901",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-60
"07/03/2024,15:08:18.756531",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-62
"07/03/2024,15:08:18.813319",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-61
"07/03/2024,15:08:18.877072",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-62
"07/03/2024,15:08:19.063815",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-63
"07/03/2024,15:08:19.673236",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-60
"07/03/2024,15:08:19.933704",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-60
"07/03/2024,15:08:19.992627",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-60
"07/03/2024,15:08:20.194702",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-59
"07/03/2024,15:08:20.582627",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-61
"07/03/2024,15:08:21.232256",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-63
"07/03/2024,15:08:21.270272",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-63
"07/03/2024,15:08:21.375698",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-64
"07/03/2024,15:08:21.869654",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-62
"07/03/2024,15:08:21.952664",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-62
"07/03/2024,15:08:21.972319",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-62
"07/03/2024,15:08:22.273130",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-64
"07/03/2024,15:08:22.689076",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-64
"07/03/2024,15:08:23.106531",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-64
"07/03/2024,15:08:23.200435",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-63
"07/03/2024,15:08:23.403348",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-65
"07/03/2024,15:08:23.752402",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-64
"07/03/2024,15:08:24.006379",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-64
"07/03/2024,15:08:24.069778",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-64
"07/03/2024,15:08:24.358173",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-64
"07/03/2024,15:08:24.432188",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-64
"07/03/2024,15:08:24.470902",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-64
"07/03/2024,15:08:24.686522",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-64
"07/03/2024,15:08:24.853809",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-64
"07/03/2024,15:08:25.302920",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-64
"07/03/2024,15:08:25.391592",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-64
"07/03/2024,15:08:25.540886",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-66
"07/03/2024,15:08:25.572680",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-66
"07/03/2024,15:08:25.621116",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-66
"07/03/2024,15:08:25.855502",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-66
